name,draft_year,draft_number,college
Joffrey Lauvergne,2013,55,none
Peyton Siva,2013,56,Louisville
Alex Oriakhi,2013,57,Missouri
Deshaun Thomas,2013,58,Ohio State
Bojan Dubljevic,2013,59,none
Janis Timma,2013,60,none
Chris Babb,2013,undrafted,Iowa State 
Vander Blue,2013,undrafted,Marquette 
Ryan Broekhoff,2013,undrafted,Valparaiso 
Will Cherry,2013,undrafted,Montana 
Ian Clark,2013,undrafted,Belmont 
Jack Cooley,2013,undrafted,Notre Dame 
Robert Covington,2013,undrafted,Tennessee State 
Seth Curry,2013,undrafted,Duke 
Troy Daniels,2013,undrafted,VCU 
Brandon Davies,2013,undrafted,BYU 
Dewayne Dedmon,2013,undrafted,USC 
Matthew Dellavedova,2013,undrafted,St. Mary's 
Larry Drew II,2013,undrafted,UCLA 
Elias Harris,2013,undrafted,Gonzaga 
Reggie Hearn,2013,undrafted,Northwestern 
Rodney McGruder,2013,undrafted,Kansas State 
Trey McKinney-Jones,2013,undrafted,Miami 
Brandon Paul,2013,undrafted,Illinois 
Phil Pressey,2013,undrafted,Missouri 
James Southerland,2013,undrafted,Syracuse 
D. J. Stephens,2013,undrafted,Memphis 
Adonis Thomas,2013,undrafted,Memphis 
Andrew Wiggins,2014,1,Kansas
Jabari Parker,2014,2,Duke
Joel Embiid,2014,3,Kansas
Aaron Gordon,2014,4,Arizona
Dante Exum,2014,5,none
Marcus Smart,2014,6,Oklahoma State
Julius Randle,2014,7,Kentucky
Nik Stauskas,2014,8,Michigan
Noah Vonleh,2014,9,Indiana
Elfrid Payton,2014,10,Louisiana-Lafayette
Doug McDermott,2014,11,Creighton
Dario Saric,2014,12,none
Zach LaVine,2014,13,California-Los Angeles
T.J. Warren,2014,14,North Carolina State
Adreian Payne,2014,15,Michigan State
Jusuf Nurkic,2014,16,none
James Young,2014,17,Kentucky
Tyler Ennis,2014,18,Syracuse
Gary Harris,2014,19,Michigan State
Bruno Caboclo,2014,20,none
Mitch McGary,2014,21,Michigan
Jordan Adams,2014,22,California-Los Angeles
Rodney Hood,2014,23,Duke
Shabazz Napier,2014,24,Connecticut
Clint Capela,2014,25,none
PJ Hairston,2014,26,none
Bogdan Bogdanovic,2014,27,none
C.J. Wilcox,2014,28,Washington
Josh Huestis,2014,29,Stanford
Kyle Anderson,2014,30,California-Los Angeles
Damien Inglis,2014,31,none
KJ McDaniels,2014,32,Clemson
Joe Harris,2014,33,Virginia
Cleanthony Early,2014,34,Wichita State
Jarnell Stokes,2014,35,Tennessee
Johnny O'Bryant III,2014,36,Louisiana State
DeAndre Daniels,2014,37,Connecticut
Spencer Dinwiddie,2014,38,Colorado
Jerami Grant,2014,39,Syracuse
Glenn Robinson III,2014,40,Michigan
Nikola Jokic,2014,41,none
Nick Johnson,2014,42,Arizona
Edy Tavares,2014,43,none
Markel Brown,2014,44,Oklahoma State
Dwight Powell,2014,45,Stanford
Jordan Clarkson,2014,46,Missouri
Russ Smith,2014,47,Louisville
Lamar Patterson,2014,48,Pittsburgh
Cameron Bairstow,2014,49,New Mexico
Alec Brown,2014,50,Wisconsin-Green Bay
Thanasis Antetokounmpo,2014,51,none
Vasilije Micic,2014,52,none
Alessandro Gentile,2014,53,none
Nemanja Dangubic,2014,54,none
Semaj Christon,2014,55,Xavier
Devyn Marble,2014,56,Iowa
Louis Labeyrie,2014,57,none
Jordan McRae,2014,58,Tennessee
Xavier Thames,2014,59,San Diego State
Cory Jefferson,2014,60,Baylor
Keith Appling,2014,undrafted,Michigan State 
Jerrelle Benimon,2014,undrafted,Towson 
Sim Bhullar,2014,undrafted,New Mexico State 
Khem Birch,2014,undrafted,UNLV 
Tarik Black,2014,undrafted,Kansas 
Jabari Brown,2014,undrafted,Missouri 
Coty Clarke,2014,undrafted,Arkansas 
Bryce Cotton,2014,undrafted,Providence 
Torrey Craig,2014,undrafted,USC Upstate 
Andre Dawkins,2014,undrafted,Duke 
Jarell Eddie,2014,undrafted,Virginia Tech 
Tim Frazier,2014,undrafted,Penn State 
Langston Galloway,2014,undrafted,Saint Joseph's 
Tyler Johnson,2014,undrafted,Fresno State 
Sean Kilpatrick,2014,undrafted,Cincinnati 
Alex Kirk,2014,undrafted,New Mexico 
Walter Lemon Jr.,2014,undrafted,Bradley 
James Michael McAdoo,2014,undrafted,North Carolina 
Eric Moreland,2014,undrafted,Oregon State 
Xavier Munford,2014,undrafted,Rhode Island 
JaKarr Sampson,2014,undrafted,St. John's 
David Stockton,2014,undrafted,Gonzaga 
David Wear,2014,undrafted,UCLA 
Travis Wear,2014,undrafted,UCLA 
Okaro White,2014,undrafted,Florida State 
Shayne Whittington,2014,undrafted,Western Michigan 
Jamil Wilson,2014,undrafted,Marquette 
Karl-Anthony Towns,2015,1,Kentucky
D'Angelo Russell,2015,2,Ohio State
Jahlil Okafor,2015,3,Duke
Kristaps Porzingis,2015,4,none
Mario Hezonja,2015,5,none
Willie Cauley-Stein,2015,6,Kentucky
Emmanuel Mudiay,2015,7,none
Stanley Johnson,2015,8,Arizona
Frank Kaminsky,2015,9,Wisconsin
Justise Winslow,2015,10,Duke
Myles Turner,2015,11,Texas
Trey Lyles,2015,12,Kentucky
Devin Booker,2015,13,Kentucky
Cameron Payne,2015,14,Murray State
Kelly Oubre Jr.,2015,15,Kansas
Terry Rozier,2015,16,Louisville
Rashad Vaughn,2015,17,Nevada-Las Vegas
Sam Dekker,2015,18,Wisconsin
Jerian Grant,2015,19,Notre Dame
Delon Wright,2015,20,Utah
Justin Anderson,2015,21,Virginia
Bobby Portis,2015,22,Arkansas
Rondae Hollis-Jefferson,2015,23,Arizona
Tyus Jones,2015,24,Duke
Jarell Martin,2015,25,Louisiana State
Nikola Milutinov,2015,26,none
Larry Nance Jr.,2015,27,Wyoming
RJ Hunter,2015,28,Georgia State
Chris McCullough,2015,29,Syracuse
Kevon Looney,2015,30,California-Los Angeles
Cedi Osman,2015,31,none
Montrezl Harrell,2015,32,Louisville
Jordan Mickey,2015,33,Louisiana State
Anthony Brown,2015,34,Stanford
Willy Hernangomez,2015,35,none
Rakeem Christmas,2015,36,Syracuse
Richaun Holmes,2015,37,Bowling Green
Darrun Hilliard,2015,38,Villanova
Juan Pablo Vaulet,2015,39,none
Josh Richardson,2015,40,Tennessee
Pat Connaughton,2015,41,Notre Dame
Olivier Hanlan,2015,42,Boston College
Joe Young,2015,43,Oregon
Andrew Harrison,2015,44,Kentucky
Marcus Thornton,2015,45,William & Mary
Norman Powell,2015,46,California-Los Angeles
Arturas Gudaitis,2015,47,none
Dakari Johnson,2015,48,Kentucky
Aaron White,2015,49,Iowa
Marcus Eriksson,2015,50,none
Tyler Harvey,2015,51,Eastern Washington
Satnam Singh,2015,52,none
Sir'Dominic Pointer,2015,53,St. John's (NY)
Daniel Diez,2015,54,none
Cady Lalanne,2015,55,Massachusetts
Branden Dawson,2015,56,Michigan State
Nikola Radicevic,2015,57,none
JP Tokoto,2015,58,North Carolina
Dimitrios Agravanis,2015,59,none
Luka Mitrovic,2015,60,none
Cliff Alexander,2015,undrafted,Kansas 
Quinn Cook,2015,undrafted,Duke 
Bryce Dejean-Jones,2015,undrafted,Iowa State 
Duje Dukan,2015,undrafted,Wisconsin 
Michael Frazier II,2015,undrafted,Florida 
Treveon Graham,2015,undrafted,VCU 
Javonte Green,2015,undrafted,Radford 
Aaron Harrison,2015,undrafted,Kentucky 
Vince Hunter,2015,undrafted,UTEP 
Stanton Kidd,2015,undrafted,Colorado State 
T. J. McConnell,2015,undrafted,Arizona 
Alfonzo McKinnie,2015,undrafted,Green Bay 
Malcolm Miller,2015,undrafted,Holy Cross 
Luis Montero,2015,undrafted,Westchester CC 
Maurice Ndour,2015,undrafted,Ohio 
J. J. O'Brien,2015,undrafted,San Diego State 
Royce O'Neale,2015,undrafted,Baylor 
Chasson Randle,2015,undrafted,Stanford 
Jordan Sibert,2015,undrafted,Dayton 
Juan Toscano-Anderson,2015,undrafted,Marquette 
Julian Washburn,2015,undrafted,UTEP 
Brianté Weber,2015,undrafted,VCU 
Alan Williams,2015,undrafted,UC Santa Barbara 
Christian Wood,2015,undrafted,UNLV 
Ben Simmons,2016,1,Louisiana State
Brandon Ingram,2016,2,Duke
Jaylen Brown,2016,3,California
Dragan Bender,2016,4,none
Kris Dunn,2016,5,Providence
Buddy Hield,2016,6,Oklahoma
Jamal Murray,2016,7,Kentucky
Marquese Chriss,2016,8,Washington
Jakob Poeltl,2016,9,Utah
Thon Maker,2016,10,none
Domantas Sabonis,2016,11,Gonzaga
Taurean Prince,2016,12,Baylor
Georgios Papagiannis,2016,13,none
Denzel Valentine,2016,14,Michigan State
Juancho Hernangomez,2016,15,none
Guerschon Yabusele,2016,16,none
Wade Baldwin IV,2016,17,Vanderbilt
Henry Ellenson,2016,18,Marquette
Malik Beasley,2016,19,Florida State
Caris LeVert,2016,20,Michigan
DeAndre' Bembry,2016,21,Saint Joseph's
Malachi Richardson,2016,22,Syracuse
Ante Zizic,2016,23,none
Timothe Luwawu-Cabarrot,2016,24,none
Brice Johnson,2016,25,North Carolina
Furkan Korkmaz,2016,26,none
Pascal Siakam,2016,27,New Mexico State
Skal Labissiere,2016,28,Kentucky
Dejounte Murray,2016,29,Washington
Damian Jones,2016,30,Vanderbilt
Deyonta Davis,2016,31,Michigan State
Ivica Zubac,2016,32,none
Cheick Diallo,2016,33,Kansas
Tyler Ulis,2016,34,Kentucky
Rade Zagorac,2016,35,none
Malcolm Brogdon,2016,36,Virginia
Chinanu Onuaku,2016,37,Louisville
Patrick McCaw,2016,38,Nevada-Las Vegas
David Michineau,2016,39,none
Diamond Stone,2016,40,Maryland
Stephen Zimmerman,2016,41,Nevada-Las Vegas
Isaiah Whitehead,2016,42,Seton Hall
Zhou Qi,2016,43,none
Isaia Cordinier,2016,44,none
Demetrius Jackson,2016,45,Notre Dame
AJ Hammons,2016,46,Purdue
Jake Layman,2016,47,Maryland
Paul Zipser,2016,48,none
Michael Gbinije,2016,49,Syracuse
Georges Niang,2016,50,Iowa State
Ben Bentil,2016,51,Providence
Joel Bolomboy,2016,52,Weber State
Petr Cornelie,2016,53,none
Kay Felder,2016,54,none
Marcus Paige,2016,55,North Carolina
Daniel Hamilton,2016,56,Connecticut
Wang Zhelin,2016,57,none
Abdel Nader,2016,58,Iowa State
Isaiah Cousins,2016,59,Oklahoma
Tyrone Wallace,2016,60,California
DeVaughn Akoon-Purcell,2016,undrafted,Illinois State 
Ryan Arcidiacono,2016,undrafted,Villanova 
Ron Baker,2016,undrafted,Wichita State 
Alex Caruso,2016,undrafted,Texas A&M 
Kyle Collinsworth,2016,undrafted,BYU 
Matt Costello,2016,undrafted,Michigan State 
Yogi Ferrell,2016,undrafted,Indiana 
Dorian Finney-Smith,2016,undrafted,Florida 
Bryn Forbes,2016,undrafted,Michigan State 
Patricio Garino,2016,undrafted,George Washington 
Marcus Georges-Hunt,2016,undrafted,Georgia Tech 
Josh Gray,2016,undrafted,LSU 
Shaquille Harrison,2016,undrafted,Tulsa 
Myke Henry,2016,undrafted,DePaul 
Danuel House,2016,undrafted,Texas A&M 
Derrick Jones Jr.,2016,undrafted,UNLV 
Jalen Jones,2016,undrafted,Texas A&M 
Damion Lee,2016,undrafted,Louisville 
Shawn Long,2016,undrafted,Louisiana–Lafayette 
Jordan Loyd,2016,undrafted,Indianapolis 
Sheldon McClellan,2016,undrafted,Miami 
David Nwaba,2016,undrafted,Cal Poly 
Daniel Ochefu,2016,undrafted,Villanova 
Gary Payton II,2016,undrafted,Oregon State 
Marshall Plumlee,2016,undrafted,Duke 
Alex Poythress,2016,undrafted,Kentucky 
Tim Quarterman,2016,undrafted,LSU 
Wayne Selden Jr.,2016,undrafted,Kansas 
Isaiah Taylor,2016,undrafted,Texas 
Mike Tobey,2016,undrafted,Virginia 
Jarrod Uthoff,2016,undrafted,Iowa 
Fred VanVleet,2016,undrafted,Wichita State 
Jameel Warney,2016,undrafted,Stony Brook 
James Webb III,2016,undrafted,Boise State 
Troy Williams,2016,undrafted,Indiana 
Kyle Wiltjer,2016,undrafted,Gonzaga 
Markelle Fultz,2017,1,Washington
Lonzo Ball,2017,2,California-Los Angeles
Jayson Tatum,2017,3,Duke
Josh Jackson,2017,4,Kansas
De'Aaron Fox,2017,5,Kentucky
Jonathan Isaac,2017,6,Florida State
Lauri Markkanen,2017,7,Arizona
Frank Ntilikina,2017,8,none
Dennis Smith Jr.,2017,9,North Carolina State
Zach Collins,2017,10,Gonzaga
Malik Monk,2017,11,Kentucky
Luke Kennard,2017,12,Duke
Donovan Mitchell,2017,13,Louisville
Bam Adebayo,2017,14,Kentucky
Justin Jackson,2017,15,North Carolina
Justin Patton,2017,16,Creighton
D.J. Wilson,2017,17,Michigan
TJ Leaf,2017,18,California-Los Angeles
John Collins,2017,19,Wake Forest
Harry Giles III,2017,20,Duke
Terrance Ferguson,2017,21,none
Jarrett Allen,2017,22,Texas
OG Anunoby,2017,23,Indiana
Tyler Lydon,2017,24,Syracuse
Anzejs Pasecniks,2017,25,none
Caleb Swanigan,2017,26,Purdue
Kyle Kuzma,2017,27,Utah
Tony Bradley,2017,28,North Carolina
Derrick White,2017,29,Colorado
Josh Hart,2017,30,Villanova
Frank Jackson,2017,31,Duke
Davon Reed,2017,32,Miami (FL)
Wes Iwundu,2017,33,Kansas State
Frank Mason,2017,34,Kansas
Ivan Rabb,2017,35,California
Jonah Bolden,2017,36,none
Semi Ojeleye,2017,37,Southern Methodist
Jordan Bell,2017,38,Oregon
Jawun Evans,2017,39,Oklahoma State
Dwayne Bacon,2017,40,Florida State
Tyler Dorsey,2017,41,Oregon
Thomas Bryant,2017,42,Indiana
Isaiah Hartenstein,2017,43,none
Damyean Dotson,2017,44,Houston
Dillon Brooks,2017,45,Oregon
Sterling Brown,2017,46,Southern Methodist
Ike Anigbogu,2017,47,California-Los Angeles
Sindarius Thornwell,2017,48,South Carolina
Vlatko Cancar,2017,49,none
Mathias Lessort,2017,50,none
Monte Morris,2017,51,Iowa State
Edmond Sumner,2017,52,Xavier
Kadeem Allen,2017,53,Arizona
Alec Peters,2017,54,Valparaiso
Nigel Williams-Goss,2017,55,Gonzaga
Jabari Bird,2017,56,California
Aleksandar Vezenkov,2017,57,none
Ognen Jaramaz,2017,58,none
Jaron Blossomgame,2017,59,Clemson
Alpha Kaba,2017,60,none
Jamel Artis,2017,undrafted,Pittsburgh 
Antonio Blakeney,2017,undrafted,LSU 
Chris Boucher,2017,undrafted,Oregon 
Isaiah Briscoe,2017,undrafted,Kentucky 
Deonte Burton,2017,undrafted,Iowa State 
Troy Caupain,2017,undrafted,Cincinnati 
Tyler Cavanaugh,2017,undrafted,George Washington 
Gian Clavell,2017,undrafted,Colorado State 
Antonius Cleveland,2017,undrafted,Southeast Missouri State 
Charles Cooke,2017,undrafted,Dayton 
Milton Doyle,2017,undrafted,Loyola 
P. J. Dozier,2017,undrafted,South Carolina 
Billy Garrett Jr.,2017,undrafted,DePaul 
Dusty Hannahs,2017,undrafted,Arkansas 
Nigel Hayes,2017,undrafted,Wisconsin 
Isaiah Hicks,2017,undrafted,North Carolina 
Isaac Humphries,2017,undrafted,Kentucky 
Amile Jefferson,2017,undrafted,Duke 
Luke Kornet,2017,undrafted,Vanderbilt 
Mangok Mathiang,2017,undrafted,Louisville 
Tahjere McCall,2017,undrafted,Tennessee State 
Erik McCree,2017,undrafted,Louisiana Tech 
Eric Mika,2017,undrafted,BYU 
Naz Mitrou-Long,2017,undrafted,Iowa State 
Ben Moore,2017,undrafted,SMU 
Jaylen Morris,2017,undrafted,Molloy College 
Johnathan Motley,2017,undrafted,Baylor 
Mychal Mulder,2017,undrafted,Kentucky 
London Perrantes,2017,undrafted,Virginia 
Rodney Purvis,2017,undrafted,Connecticut 
Xavier Rathan-Mayes,2017,undrafted,Florida State 
Devin Robinson,2017,undrafted,Florida 
Kobi Simmons,2017,undrafted,Arizona 
Matt Thomas,2017,undrafted,Iowa State 
Derrick Walton,2017,undrafted,Michigan 
Paul Watson,2017,undrafted,Fresno State 
Andrew White,2017,undrafted,Syracuse 
Matt Williams,2017,undrafted,UCF 
Jacob Wiley,2017,undrafted,Eastern Washington 
Deandre Ayton,2018,1,Arizona
Marvin Bagley III,2018,2,Duke
Luka Doncic,2018,3,none
Jaren Jackson Jr.,2018,4,Michigan State
Trae Young,2018,5,Oklahoma
Mo Bamba,2018,6,Texas
Wendell Carter Jr.,2018,7,West Virginia
Collin Sexton,2018,8,Alabama
Kevin Knox II,2018,9,Kentucky
Mikal Bridges,2018,10,Villanova
Shai Gilgeous-Alexander,2018,11,Kentucky
Miles Bridges,2018,12,Michigan State
Jerome Robinson,2018,13,Boston College
Michael Porter Jr.,2018,14,Missouri
Troy Brown Jr.,2018,15,Oregon
Zhaire Smith,2018,16,Texas Tech
Donte DiVincenzo,2018,17,Villanova
Lonnie Walker IV,2018,18,Miami (FL)
Kevin Huerter,2018,19,Maryland
Josh Okogie,2018,20,Georgia Tech
Grayson Allen,2018,21,Duke
Chandler Hutchison,2018,22,Boise State
Aaron Holiday,2018,23,California-Los Angeles
Anfernee Simons,2018,24,none
Moritz Wagner,2018,25,Michigan
Landry Shamet,2018,26,Wichita State
Robert Williams III,2018,27,Texas A&M
Jacob Evans,2018,28,Cincinnati
Dzanan Musa,2018,29,none
Omari Spellman,2018,30,Villanova
Elie Okobo,2018,31,none
Jevon Carter,2018,32,West Virginia
Jalen Brunson,2018,33,Villanova
Devonte' Graham,2018,34,Kansas
Melvin Frazier Jr.,2018,35,Tulane
Mitchell Robinson,2018,36,none
Gary Trent Jr.,2018,37,Duke
Khyri Thomas,2018,38,Creighton
Isaac Bonga,2018,39,none
Rodions Kurucs,2018,40,none
Jarred Vanderbilt,2018,41,Kentucky
Bruce Brown,2018,42,Miami (FL)
Justin Jackson,2018,43,Maryland
Issuf Sanon,2018,44,none
Hamidou Diallo,2018,45,Kentucky
De'Anthony Melton,2018,46,Southern California
Svi Mykhailiuk,2018,47,Kansas
Keita Bates-Diop,2018,48,Ohio State
Chimezie Metu,2018,49,Southern California
Alize Johnson,2018,50,Missouri State
Tony Carr,2018,51,Penn State
Vincent Edwards,2018,52,Purdue
Devon Hall,2018,53,Virginia
Shake Milton,2018,54,Southern Methodist
Arnoldas Kulboka,2018,55,none
Ray Spalding,2018,56,Louisville
Kevin Hervey,2018,57,Texas-Arlington
Thomas Welsh,2018,58,California-Los Angeles
George King,2018,59,Colorado
Kostas Antetokounmpo,2018,60,Dayton
Jaylen Adams,2018,undrafted,St. Bonaventure 
Deng Adel,2018,undrafted,Louisville 
Rawle Alkins,2018,undrafted,Arizona 
Joe Chealey,2018,undrafted,College of Charleston 
Chris Chiozza,2018,undrafted,Florida 
Gary Clark,2018,undrafted,Cincinnati 
Bonzie Colson,2018,undrafted,Notre Dame 
Marcus Derrickson,2018,undrafted,Georgetown 
Tyler Davis,2018,undrafted,Texas A&M 
Ángel Delgado,2018,undrafted,Seton Hall 
Trevon Duval,2018,undrafted,Duke 
Drew Eubanks,2018,undrafted,Oregon State 
Wenyen Gabriel,2018,undrafted,Kentucky 
Brandon Goodwin,2018,undrafted,Florida Gulf Coast 
Donte Grantham,2018,undrafted,Clemson 
Haywood Highsmith,2018,undrafted,Wheeling Jesuit 
B. J. Johnson,2018,undrafted,La Salle 
Jemerrio Jones,2018,undrafted,New Mexico State 
Zach Lofton,2018,undrafted,New Mexico State 
Daryl Macon,2018,undrafted,Arkansas 
J. P. Macura,2018,undrafted,Xavier 
Kelan Martin,2018,undrafted,Butler 
Yante Maten,2018,undrafted,Georgia 
Jordan McLaughlin,2018,undrafted,USC 
Malik Newman,2018,undrafted,Kansas 
Kendrick Nunn,2018,undrafted,Oakland 
Theo Pinson,2018,undrafted,North Carolina 
Cameron Reynolds,2018,undrafted,Tulane 
Duncan Robinson,2018,undrafted,Michigan 
Brandon Sampson,2018,undrafted,LSU 
Jared Terrell,2018,undrafted,Rhode Island 
Emanuel Terry,2018,undrafted,Lincoln Memorial 
Allonzo Trier,2018,undrafted,Arizona 
Yuta Watanabe,2018,undrafted,George Washington 
Johnathan Williams,2018,undrafted,Gonzaga 
Kenrich Williams,2018,undrafted,TCU 
Zion Williamson,2019,1,Duke
Ja Morant,2019,2,Murray State
RJ Barrett,2019,3,Duke
De'Andre Hunter,2019,4,Virginia
Darius Garland,2019,5,Vanderbilt
Jarrett Culver,2019,6,Texas Tech
Coby White,2019,7,North Carolina
Jaxson Hayes,2019,8,Texas
Rui Hachimura,2019,9,Gonzaga
Cam Reddish,2019,10,Duke
Cameron Johnson,2019,11,North Carolina
P.J. Washington,2019,12,Kentucky
Tyler Herro,2019,13,Kentucky
Romeo Langford,2019,14,Indiana
Sekou Doumbouya,2019,15,none
Chuma Okeke,2019,16,Auburn
Nickeil Alexander-Walker,2019,17,Virginia Tech
Goga Bitadze,2019,18,none
Luka Samanic,2019,19,none
Matisse Thybulle,2019,20,Washington
Brandon Clarke,2019,21,Gonzaga
Grant Williams,2019,22,Tennessee
Darius Bazley,2019,23,none
Ty Jerome,2019,24,Virginia
Nassir Little,2019,25,North Carolina
Dylan Windler,2019,26,Belmont
Mfiondu Kabengele,2019,27,Florida State
Jordan Poole,2019,28,Michigan
Keldon Johnson,2019,29,Kentucky
Kevin Porter Jr.,2019,30,Southern California
Nicolas Claxton,2019,31,Georgia
KZ Okpala,2019,32,Stanford
Carsen Edwards,2019,33,Purdue
Bruno Fernando,2019,34,Maryland
Marcos Louzada Silva,2019,35,none
Cody Martin,2019,36,North Carolina State
Deividas Sirvydis,2019,37,none
Daniel Gafford,2019,38,Arkansas
Alen Smailagic,2019,39,none
Justin James,2019,40,Wyoming
Eric Paschall,2019,41,Villanova
Admiral Schofield,2019,42,Tennessee
Jaylen Nowell,2019,43,Washington
Bol Bol,2019,44,Oregon
Isaiah Roby,2019,45,Nebraska
Talen Horton-Tucker,2019,46,Iowa State
Ignas Brazdeikis,2019,47,Michigan
Terance Mann,2019,48,Florida State
Quinndary Weatherspoon,2019,49,Mississippi State
Jarrell Brantley,2019,50,College of Charleston
Tremont Waters,2019,51,Louisiana State
Jalen McDaniels,2019,52,San Diego
Justin Wright-Foreman,2019,53,Hofstra
Marial Shayok,2019,54,Virginia
Kyle Guy,2019,55,Virginia
Jaylen Hands,2019,56,California-Los Angeles
Jordan Bone,2019,57,Tennessee
Miye Oni,2019,58,Yale
Dewan Hernandez,2019,59,Miami (FL)
Vanja Marinkovic,2019,60,none
Marques Bolden,2019,undrafted,Duke 
Brian Bowen,2019,undrafted,Sydney Kings 
Ky Bowman,2019,undrafted,Boston College 
Oshae Brissett,2019,undrafted,Syracuse 
Charlie Brown,2019,undrafted,Saint Joseph's 
Moses Brown,2019,undrafted,UCLA 
Zylan Cheatham,2019,undrafted,Arizona State 
Chris Clemons,2019,undrafted,Campbell 
Amir Coffey,2019,undrafted,Minnesota 
Tyler Cook,2019,undrafted,Iowa 
Terence Davis,2019,undrafted,Ole Miss 
Luguentz Dort,2019,undrafted,Arizona State 
Tacko Fall,2019,undrafted,UCF 
Donta Hall,2019,undrafted,Alabama 
Jared Harper,2019,undrafted,Auburn 
Jaylen Hoard,2019,undrafted,Wake Forest 
DaQuan Jeffries,2019,undrafted,Tulsa 
Louis King,2019,undrafted,Oregon 
John Konchar,2019,undrafted,Purdue Fort Wayne 
Vic Law,2019,undrafted,Northwestern 
Caleb Martin,2019,undrafted,Nevada 
Garrison Mathews,2019,undrafted,Lipscomb 
Adam Mokoka,2019,undrafted,Mega Bemax 
Matt Mooney,2019,undrafted,Texas Tech 
Juwan Morgan,2019,undrafted,Indiana 
Zach Norvell Jr.,2019,undrafted,Gonzaga 
Tariq Owens,2019,undrafted,Texas Tech 
Shamorie Ponds,2019,undrafted,St. John's 
Josh Reaves,2019,undrafted,Penn State 
Naz Reid,2019,undrafted,LSU 
Justin Robinson,2019,undrafted,Virginia Tech 
Chris Silva,2019,undrafted,South Carolina 
Max Strus,2019,undrafted,DePaul 
Rayjon Tucker,2019,undrafted,Little Rock 
Dean Wade,2019,undrafted,Kansas State 
