hs_recruit_ranking,name
9,Tristan Thompson
10,Will Barton
11,Terrence Jones
12,C.J. Leslie
13,Cory Joseph
14,Fab Melo
15,Reggie Bullock
16,Joe Jackson
17,Deshaun Thomas
18,Joshua Smith
19,Patric Young
20,Tony Mitchell
21,Jelan Kendrick 
22,Ryan Harrow 
23,Ray McCallum
24,Jereme Richmond 
25,Kendall Marshall
26,Doron Lamb
27,Adreian Payne
28,Roscoe Smith
29,Trey Zeigler 
30,Meyers Leonard
31,Dion Waiters
32,Josh Hairston 
33,Terrence Ross
34,Keith Appling
35,Ian Miller 
36,Cameron Clark 
37,Justin Coleman 
38,Dwight Powell
39,Tyler Lamb 
40,Jordan McRae
41,Phil Pressey
42,Nate Lubick 
43,Okaro White
44,Dominique Ferguson 
45,Luke Cothron
46,Jayvaughn Pinkston 
47,K.T. Harrell 
48,Vander Blue
49,Travis McKie 
50,Stacey Poole 
51,JT Terrell 
52,Casey Prather
53,Keala King 
54,Anthony Brown
55,Mychal Parker 
56,Lorenzo Brown
57,Gary Franklin 
58,James Johnson 
59,Tarik Black
60,Trevor Releford 
61,Damontre Harris 
62,Rion Brown 
63,Jordan Sibert
64,Gerard Coleman 
65,James Bell 
66,Carson Desrosiers 
67,J.J. Moore 
68,Noah Cottrill
69,Gorgui Dieng
70,Daniel Bejarano 
71,Allen Crabbe
72,Mike Cobbins
73,Bruce Ellington 
74,Jamail Jones 
75,Shabazz Napier
76,Crandall Head 
77,Jason Morris 
78,Jeremy Lamb
79,Juwan Staten
80,Evan Smotrycz 
81,Rod Odom 
82,Bryce Dejean-Jones
83,Kadeem Jack
84,Terone Johnson 
85,Matt Derenbecker 
86,Trae Golden 
87,Justin Martin 
88,Cody Larson 
89,Jarell Eddie
90,Keith Davis 
91,Dwayne Polee 
92,Russell Byrd 
93,Melvin Tabb 
94,Markel Starks 
95,Evan Anderson 
96,C.J. Fair
97,Demarco Cox 
98,C.J. Aiken
99,Alex Kirk
100,Ralston Turner 
1,Anthony Davis
2,Austin Rivers
3,Michael Kidd-Gilchrist
4,Bradley Beal
5,Quincy Miller
6,James Michael McAdoo
7,Marquis Teague
8,Le'Bryan Nash
9,Adonis Thomas
10,Cody Zeller
11,Khem Birch
12,P.J. Hairston
13,Myck Kabongo
14,Josiah Turner 
15,Kentavious Caldwell-Pope
16,Jabari Brown
17,Branden Dawson
18,Tony Wroten
19,Kyle Wiltjer
20,B.J. Young
21,Rakeem Christmas
22,Dorian Finney-Smith
23,Nick Johnson
24,Chane Behanan 
25,Michael Carter-Williams
26,Wayne Blackshear 
27,Rodney Hood
28,Michael Gbinije
29,Levi Randolph
30,Jahii Carson 
31,Quinn Cook
32,Shannon Scott
33,DeAndre Daniels
34,Otto Porter
35,Sir'Dominic Pointer
36,Trevor Lacey 
37,Adjehi Baru 
38,Maurice Harkless
39,Johnny O'Bryant
40,Jakarr Sampson
41,Ben McLemore
42,Rashad Madden 
43,Nick Faust 
44,LaQuinton Ross 
45,Dai-Jon Parker 
46,Sam Thompson
47,D'Angelo Harrison 
48,Sheldon McClellan
49,Alex Murphy 
50,Amir Williams 
51,Norvel Pelle
52,Jamal Branch 
53,Norman Powell
54,Dez Wells
55,Michael Chandler 
56,Deuce Bello 
57,Tyrone Johnson 
58,Zach Price 
59,Chris Jones 
60,Angelo Chol 
61,Marshall Plumlee
62,Aaron Thomas 
63,Chasson Randle
64,Ryan Boatright
65,Mike Shaw 
66,Myke Henry
67,Antwan Space 
68,Julien Lewis 
69,Tracy Abrams 
70,Jonathan Holmes
71,Hunter Mickelson 
72,Julian Royal 
73,Amir Garrett 
74,Malcolm Gilbert 
75,Kevin Ware 
76,Erik Copes 
77,Gary Bell 
78,Nnanna Egwu
79,Trevor Cooney 
80,Tyler Adams 
81,Myles Mack 
82,Juan Anderson
83,Joseph Uchebo 
84,Cezar Guerrero 
85,Jabarie Hinds 
86,Derrick Gordon 
87,Robert Brown 
88,D.J. Gardner
89,Sidiki Johnson 
90,Rodney Cooper 
91,Naadir Tharpe 
92,Deville Smith 
93,Shaquille Thomas 
94,Malcolm Brogdon
95,Kedren Johnson 
96,Bernard Sullivan 
97,Carlton Brundidge 
98,Mikael Hopkins 
99,Damien Leonard 
100,C.J. Barksdale 
1,Nerlens Noel
2,Shabazz Muhammad
3,Isaiah Austin 
4,Kyle Anderson
5,Steven Adams
6,Anthony Bennett
7,Kaleb Tarczewski
8,Alex Poythress
9,Marcus Smart
10,Archie Goodwin
11,Grant Jerrett
12,Rasheed Sulaimon
13,Ricky Ledo
14,Cameron Ridley 
15,Brandon Ashley
16,Gary Harris
17,Rodney Purvis
18,Dajuan Coleman 
19,Sam Dekker
20,Kris Dunn
21,Amile Jefferson
22,Devonta Pollard 
23,Glenn Robinson
24,Tony Parker 
25,Yogi Ferrell
26,Mitch McGary
27,T.J. Warren
28,Marcus Paige
29,Danuel House
30,Robert Carter 
31,Perry Ellis
32,Rico Gathers 
33,Winston Shepard 
34,Shaquille Cleare 
35,Shaq Goodwin 
36,Katin Reinhardt 
37,D'Vauntes Smith-Rivera
38,Willie Cauley-Stein
39,Omar Calhoun 
40,Brice Johnson
41,Jerami Grant
42,Adam Woodbury 
43,Tyler Lewis 
44,Daniel Ochefu
45,Jeremy Hollowell 
46,Cameron Biedscheid 
47,Gabe York
48,Justin Anderson
49,Semaj Christon
50,Josh Scott 
51,Hanner Mosquera-Perea 
52,Andrew White
53,Robert Upshaw
54,Braxton Ogbueze 
55,Ryan Arcidiacono
56,Dominic Artis 
57,J.P. Tokoto
58,Joel James 
59,Jordan Adams
60,Montay Brandon 
61,Elijah Macon 
62,Prince Ibeh 
63,James Robinson 
64,Danrad Knowles 
65,J'Mychal Reese 
66,L.J. Rose 
67,Xavier Johnson 
68,Jake Layman
69,Chris Obekpa
70,Jordan Price 
71,Georges Niang
72,Torian Graham
73,Rosco Allen 
74,Evan Nolte 
75,Codi Miller-McIntyre
76,Terry Rozier
77,A.J. Hammons
78,Nik Stauskas
79,JaKarr Sampson
80,Javan Felix 
81,Alex Caruso
82,Steve Taylor 
83,Savon Goodman 
84,Melvin Johnson 
85,Montrezl Harrell
86,Michael Frazier
87,Matt Costello
88,Mike Gesell 
89,Denzel Valentine
90,Arnaud William Adala Moto 
91,Marcus Georges-Hunt
92,Mike Tobey
93,Ronnie Johnson 
94,Anthony January
95,Tyrone Wallace
96,Kellen Dunham
97,Grant Verhoeven 
98,Kenny Kaminski 
99,Jordan Loveridge 
100,Aaron Thomas 
1,Andrew Wiggins
2,Julius Randle
3,Jabari Parker
4,Aaron Gordon
5,Andrew Harrison
6,Aaron Harrison
7,Chris Walker
8,Noah Vonleh
9,James Young
10,Dakari Johnson
11,Kasey Hill 
12,Jarell Martin
13,Wayne Selden
14,Isaiah Hicks
15,Bobby Portis
16,Joel Embiid
17,Rondae Hollis-Jefferson
18,Marcus Lee
19,Isaac Hamilton
20,Austin Nichols 
21,Jabari Bird
22,Robert Hubbs 
23,Tyler Ennis
24,Anthony 'Cat' Barber
25,Jermaine Lawrence 
26,Rysheed Jordan 
27,Keith Frazier 
28,Nigel Williams-Goss
29,Zak Irvin 
30,Kuran Iverson 
31,JaJuan Johnson 
32,Semi Ojeleye
33,Demetrius Jackson
34,Matt Jones
35,Sindarius Thornwell
36,Brannen Greene 
37,Tyler Roberson 
38,Jordan Mickey
39,Eric Mika
40,Nick King
41,Conner Frankamp 
42,Johnathan Williams
43,Xavier Rathan-Mayes
44,Derrick Walton
45,Christian Wood
46,Roddy Peters 
47,Moses Kingsley 
48,Brandon Austin
49,Zach LaVine
50,Anton Gill 
51,Troy Williams
52,Matt Thomas
53,Terry Rozier
54,Deonte Burton
55,Devin Williams
56,Kennedy Meeks
57,Kendrick Nunn
58,Ish Wainright 
59,Duane Wilson 
60,John Egbunu
61,Stanford Robinson 
62,Allerik Freeman 
63,Kendall Stephens 
64,Karviar Shepherd 
65,Beejay Anya 
66,Marc Loving
67,Jimmie Taylor 
68,Detrick Mostella 
69,Nick Emery 
70,Malcolm Hill 
71,Luke Fischer 
72,Stevie Clark 
73,Jordan Bell
74,Tim Quarterman
75,Reggie Cameron 
76,Kam Williams 
77,V.J. Beachem
78,Kris Jenkins 
79,Bronson Koenig
80,Mamadou Ndiaye 
81,Markel Crawford
82,Damian Jones
83,Dominic Woodson 
84,Bryson Scott 
85,Aquille Carr
86,Michael Young
87,Wes Clark 
88,Akoy Agau 
89,Frank Mason
90,Kentan Facey 
91,Zena Edosomwan 
92,Dakarai Allen 
93,Nate Britt 
94,Josh Hart
95,Anthony January
96,Marcus Allen 
97,Pookie Powell 
98,Brandon Randolph 
99,Kyle Washington 
100,Tre'Shaun Fletcher 
1,Jahlil Okafor
2,Emmanuel Mudiay
3,Stanley Johnson
4,Cliff Alexander
5,Karl-Anthony Towns
6,Myles Turner
7,Tyus Jones
8,Kelly Oubre
9,Justin Jackson
10,Rashad Vaughn
11,Kevon Looney
12,Trey Lyles
13,Justise Winslow
14,Isaiah Whitehead
15,Theo Pinson
16,D'Angelo Russell
17,Daniel Hamilton
18,Tyler Ulis
19,Chris McCollough
20,James Blackmon
21,Devin Robinson
22,Dwayne Morgan 
23,Devin Booker
24,Grayson Allen
25,Shaqquan Aaron 
26,Joel Berry
27,Kameron Chatman 
28,Isaac Copeland 
29,Keita Bates-Diop
30,JaQuan Lyle 
31,Brandone Francis 
32,Goodluck Okonoboh 
33,Thomas Welsh
34,Melo Trimble
35,Reid Travis 
36,Jonah Bolden
37,Quentin Snider 
38,Trevon Bluiett
39,Terry Larrier
40,Craig Victor 
41,Jordan McLaughlin
42,Angel Delgado
43,JaQuan Newton 
44,Parker Jackson-Cartwright 
45,Abdul-Malik Abu 
46,Leron Black 
47,Robert Johnson
48,Malik Pope 
49,Chris Chiozza
50,Jakeenan Gant
51,Paul White 
52,Kaleb Joseph 
53,Dion Wiley 
54,Jae'Sean Tate 
55,T.J. Haws 
56,Elbert Robinson 
57,Brekkott Chapman 
58,Alex Robinson
59,Michael Humphrey 
60,Josh Perkins
61,Ahmed Hill
62,L.J. Peak
63,Caleb Martin
64,Chinanu Onuaku
65,Devonte Graham
66,Paschal Chukwu 
67,Jaylen Johnson
68,Jared Terrell
69,Robert Cartwright 
70,Cody Martin
71,Elijah Stewart
72,Justin Coleman 
73,Ronnie Harrell 
74,Dominic Magee 
75,Sandy Cohen 
76,Jalen Lindsey 
77,Trey Kell 
78,Lourawls Nairn 
79,Zylan Cheatham
80,Donte Grantham
81,Shelton Mitchell 
82,Isaac Haas
83,B.J. Stith 
84,Phil Booth
85,Jordan Barnett
86,Jared Nickens 
87,Justin Bibbs
88,Joe Burton 
89,Trayvon Reed 
90,Tadric Jackson 
91,Vic Law
92,Domantas Sabonis
93,Namon Wright 
94,Makinde London 
95,Sviatoslav Mykhailiuk
96,Michal Cekovsky 
97,Devin Mitchell 
98,Mikal Bridges
99,Detrick Mostella 
100,Malik Marquetti 
1,Ben Simmons
2,Skal Labissiere
3,Jaylen Brown
4,Brandon Ingram
5,Ivan Rabb
6,Cheick Diallo
7,Diamond Stone
8,Malik Newman
9,Henry Ellenson
10,Stephen Zimmerman
11,Isaiah Briscoe
12,Allonzo Trier
13,Derryck Thornton 
14,Chase Jeter 
15,Antonio Blakeney
16,Caleb Swanigan
17,Dwayne Bacon
18,Ray Smith
19,Jalen Brunson
20,Jalen Adams
21,Luke Kennard
22,Carlton Bragg 
23,Tyler Dorsey
24,Perry Dozier
25,Thomas Bryant
26,Deyonta Davis
27,Donovan Mitchell
28,Jawun Evans
29,Malachi Richardson
30,Justin Simon
31,D.J. Hogg
32,Dedric Lawson
33,Tyler Davis
34,Deng Adel
35,Chimezie Metu
36,Prince Ali 
37,Malik Beasley
38,Jalen Coleman-Lands 
39,Kerwin Roach 
40,Elijah Thomas 
41,Raymond Spalding
42,Jessie Govan 
43,Derrick Jones
44,Daniel Giddens 
45,Dejounte Murray
46,K.J. Lawson 
47,Eric Davis 
48,Chance Comanche 
49,Esa Ahmad 
50,Charles Matthews 
51,Austin Grandstaff 
52,Marquese Chriss
53,Tevin Mack 
54,Stephen Thompson 
55,Bennie Boatwright 
56,LaGerald Vick 
57,Brandon Sampson
58,Horace Spencer 
59,Ted Kapita 
60,Aaron Holiday
61,Chris Clarke 
62,Steve Enoch 
63,Justin Patton
64,KeVaughn Allen 
65,Jimmy Whitt 
66,King McClure 
67,Matthew McQuaid 
68,Moustapha Diagne
69,Jeremy Hemsley 
70,Danjel Purifoy 
71,Jamal Murray
72,Tyler Lydon
73,Doral Moore
74,Thon Maker
75,Noah Dickerson 
76,Marcus LoVett 
77,Brevin Pritzl 
78,D.J. Williams 
79,Franklin Howard 
80,Glynn Watson 
81,Corey Sanders 
82,Kevarrius Hayes 
83,Maverick Rowan 
84,Jaquan Lyle 
85,Ed Morrow 
86,Admon Gilder 
87,Haanif Cheatham 
88,Trevor Manuel 
89,Shake Milton
90,Kenny Williams 
91,Tres Tinkle 
92,Keith Stone 
93,Marcus Derrickson
94,Bryant Crawford 
95,Justin Robinson
96,Matt Heldt 
97,Moritz Wagner
98,A.J. Harris 
99,Kobie Eubanks 
100,Quinndary Weatherspoon
1,Josh Jackson
2,Harry Giles
3,Lonzo Ball
4,Jayson Tatum
5,Markelle Fultz
6,De'Aaron Fox
7,Jonathan Isaac
8,Bam Adebayo
9,Malik Monk
10,Miles Bridges
11,Marques Bolden
12,Terrance Ferguson
13,Wenyen Gabriel
14,Frank Jackson
15,Jarrett Allen
16,TJ Leaf
17,Omari Spellman
18,Mustapha Heron 
19,Tony Bradley
20,Joshua Langford 
21,Rawle Alkins
22,Sacha Killeya-Jones 
23,Andrew Jones 
24,Kobi Simmons
25,V.J. King
26,Bruce Brown
27,Dewan Hernandez
28,Zach Collins
29,Cassius Winston 
30,Alterique Gilbert 
31,Tyus Battle 
32,Kyle Guy
33,Udoka Azubuike 
34,Ike Anigbogu
35,Javin DeLaurier 
36,Shamorie Ponds
37,Thon Maker
38,Kameron McGusty 
39,Sam Cunliffe 
40,Amir Coffey
41,Seventh Woods 
42,De'Ron Davis 
43,Tony Carr
44,Nick Ward 
45,Payton Pritchard 
46,Ty Jerome
47,De'Riante Jenkins 
48,Mario Kegler 
49,Dennis Smith
50,Juwan Durham 
51,Robert Williams
52,Schnider Herard 
53,Kevin Huerter
54,Zavier Simpson 
55,Dejon Jarreau 
56,Braxton Key 
57,Anthony Cowan 
58,Charlie Moore 
59,Jaylen Fisher 
60,Matthew Moyer 
61,Jay Huff 
62,Brendan Bailey 
63,Tyler Cook
64,James Banks 
65,Brandon Robinson 
66,Derek Funderburk 
67,Jarron Cumberland 
68,JJ Caldwell 
69,Trent Forrest 
70,Vance Jackson 
71,Markus Howard 
72,Lauri Markkanen
73,Omer Yurtseven 
74,De'Andre Hunter
75,Jonah Mathews 
76,Curtis Jones 
77,Quentin Goodin 
78,Temple Gibbs 
79,Mark Vital 
80,Yoeli Childs 
81,Romello White 
82,Tyree Crump 
83,Lamar Peters
84,Taurean Thompson 
85,Tyson Carter 
86,Jaquori McLaughlin 
87,Jared Harper
88,Markell Johnson 
89,Gavin Baxter 
90,M.J. Cage 
91,Eli Wright 
92,Justin Jackson
93,Bruno Fernando
94,Jayce Johnson 
95,Sam Hauser 
96,Chris Lewis 
97,Kristian Doolittle 
98,Jethro Tshisumpa 
99,Keith Smith 
100,Abdul Ado 
1,Marvin Bagley III
2,Michael Porter Jr.
3,DeAndre Ayton
4,Mohamed Bamba
5,Trevon Duval
6,Collin Sexton
7,Wendell Carter
8,Mitchell Robinson
9,Jaren Jackson
10,Kevin Knox
11,Brandon McCoy
12,Troy Brown
13,Jarred Vanderbilt
14,PJ Washington
15,Gary Trent Jr.
16,Brian Bowen
17,Lonnie Walker
18,Nick Richards 
19,Billy Preston
20,Kris Wilkes
21,Trae Young
22,Jaylen Hands
23,Quade Green 
24,M.J. Walker 
25,Malik Williams 
26,Nick Weatherspoon 
27,Jalek Felton 
28,John Petty 
29,Paul Scruggs 
30,Shai Gilgeous-Alexander
31,Lindell Wigginton
32,Ethan Thompson 
33,Nickeil Alexander-Walker
34,Chaundee Brown 
35,Brandon Randolph 
36,Charles O'Bannon 
37,Daniel Gafford
38,Tremont Waters
39,Makai Ashton-Langford 
40,Jeremiah Tilmon 
41,Kezie Okpala
42,Emmanuel Akot 
43,D.J. Harvey 
44,Cody Riley 
45,Jermaine Samuels 
46,Hamidou Diallo
47,Matt Coleman 
48,Chuma Okeke
49,Rayshaun Hammonds 
50,Daejon Davis 
51,Jericho Sims 
52,Jordan Goodwin 
53,Jontay Porter
54,Marcus Garrett 
55,Kimani Lawrence 
56,Savion Flagg 
57,Naji Marshall 
58,Davion Mitchell 
59,Jordan Tucker 
60,Ira Lee 
61,Isaiah Washington 
62,Josh Anderson 
63,Ike Obiagu 
64,Jalen Hill 
65,Chris Lykes 
66,Jaylen Nowell
67,Nojel Eastern 
68,Nate Reuvers 
69,Alex O'Connell 
70,Bruno Fernando
71,Darius Perry 
72,Jemarl Baker 
73,Jordan Nwora 
74,Dhamir Cosby-Roundtree 
75,D'Shawn Schwartz 
76,Mitchell Ballock 
77,Sidney Wilson 
78,Jase Febres 
79,Derek Culver 
80,Myles Cale 
81,Wabissa Bede 
82,Kellan Grady 
83,Kaleb Wesson 
84,Xavier Tillman 
85,Branden Carlson 
86,Khalil Garland 
87,Justin Smith 
88,Jamorko Pickett 
89,Darryl Morsell 
90,Mark Smith 
91,Jacob Epperson 
92,Deaundrae Ballard 
93,Alex Reese 
94,Luka Garza 
95,Terrance Lewis 
96,Ty-Shon Alexander 
97,Isaiah Stokes 
98,Oscar Da Silva 
99,Hameir Wright 
100,Jordan Poole
1,R.J. Barrett
2,Cam Reddish
3,Nassir Little
4,Zion Williamson
5,Romeo Langford
6,Bol Bol
7,Anfernee Simons
8,Quentin Grimes 
9,Charles Bassey 
10,Simisola Shittu
11,EJ Montgomery 
12,Keldon Johnson
13,Tre Jones 
14,Ashton Hagans 
15,Darius Garland
16,Jalen Smith 
17,Darius Bazley
18,Naz Reid
19,Jaylen Hoard
20,Jordan Brown 
21,Devon Dotson 
22,Louis King
23,Immanuel Quickley 
24,Moses Brown
25,Andrew Nembhard 
26,Emmitt Williams 
27,Coby White
28,Kevin Porter Jr
29,Jahvon Quinerly 
30,Reggie Perry 
31,David McCormack 
32,Ayo Dosunmu 
33,Ja'vonte Smart 
34,Brandon Williams 
35,Tyler Herro
36,Taeshon Cherry 
37,Joey Baker 
38,Shareef O'Neal 
39,Cole Swider 
40,Will Richardson 
41,Aaron Wiggins 
42,Courtney Ramey 
43,Elijah Weaver 
44,Gerald Liddell 
45,Jules Bernard 
46,Khavon Moore 
47,David Duke 
48,A.J. Reeves 
49,Michael Devoe 
50,Daniel Oturu 
51,Talen Horton-Tucker
52,Jalen Carey 
53,Brandon Slater 
54,Joe Wieskamp 
55,Kamaka Hepa 
56,Robert Woodard 
57,Jerome Hunter 
58,Joey Hauser 
59,Darius Days 
60,Cormac Ryan 
61,Nate Laszewski 
62,Marcus Bingham 
63,Aaron Nesmith 
64,Rechon Black 
65,Carte'Are Gordon 
66,Miles Norris 
67,Brandon Johns Jr 
68,Luther Muhammad 
69,Keyontae Johnson 
70,Jairus Hamilton 
71,Devonaire Doutrive 
72,Landers Nolley 
73,Matt Bradley 
74,Ignas Brazdeikis
75,Jaedon Ledee 
76,Luguentz Dort
77,Noah Locke 
78,Foster Loyer 
79,AJ Green 
80,Tyler Harris 
81,Filip Petrusev 
82,J'Raan Brooks 
83,David Singleton 
84,Eric Ayala 
85,Derek Culver 
86,Pete Nance 
87,Matthew Mayer 
88,Jermaine Harris 
89,James Akinjo 
90,Miller Kopp 
91,A.J. Lawson 
92,Robby Carmody 
93,Prentiss Hubb 
94,Isaiah Mucius 
95,Bryce Hamilton 
96,Elias Valtonen 
97,Jared Butler 
98,Manny Bates 
99,Noah Kirkwood 
100,Colin Castleton 
1,James Wiseman 
2,Isaiah Stewart 
3,Cole Anthony 
4,Anthony Edwards 
5,Vernon Carey 
6,Nico Mannion 
7,Jaden McDaniels 
8,R.J. Hampton
9,Scottie Lewis 
10,Tyrese Maxey 
11,Khalil Whitney 
12,Matthew Hurt 
13,Josh Green 
14,Precious Achiuwa 
15,Jeremiah Robinson-Earl 
16,Bryan Antoine 
17,Trendon Watford 
18,Isaiah Mobley 
19,Onyeka Okongwu 
20,Samuell Williamson 
21,Josiah James 
22,Tre Mann 
23,Armando Bacot 
24,Keion Brooks 
25,Wendell Moore 
26,Trace Jackson-Davis 
27,C.J. Walker 
28,Oscar Tshebwe 
29,Patrick Williams 
30,Jahmius Ramsey 
31,D.J. Carton 
32,Will Baker 
33,Cassius Stanley 
34,Johnny Juzang 
35,"Mark ""Rocket"" Watts "
36,"Rejean ""Boogie"" Ellis "
37,Isaac Okoro 
38,Zeke Nnaji 
39,Jalen Lecque
40,LaMelo Ball
41,E.J. Liddell 
42,Drew Timme 
43,Kofi Cockburn 
44,De’Vion Harmon 
45,D.J. Jeffries 
46,Omar Payne 
47,Alonzo Gaffney 
48,Anton Watson 
49,Aidan Igiehon 
50,Kai Jones 
51,Jalen Wilson 
52,Justin Moore 
53,Romeo Weems 
54,Max Agbonkpolo 
55,Malik Hall 
56,Harlond Beverly 
57,Terry Armstrong
58,Casey Morsell 
59,Pavel Zakharov 
60,Lester Quinones 
61,Greg Gantt 
62,Akok Akok 
63,Christian Brown 
64,Balsa Koprivica 
65,Kadin Shedrick 
66,"Donovan ""Trey"" Williams "
67,Eric Dixon 
68,Makhi Mitchell 
69,Patrick McCaffery 
70,Anthony Harris 
71,Isaac Johnson
72,James Bouknight 
73,P.J. Fuller 
74,Tristan Enaruna 
75,Jaykwon Walton 
76,Isaiah Wong 
77,Latrayvion Jackson 
78,RaeQuan Battle 
79,David Johnson 
80,Jalen Cone 
81,Terrence Shannon 
82,Juwan Gary 
83,Dekeyvan “KyKy” Tandy 
84,Marcus Watson 
85,Sahvir Wheeler 
86,Tre Mitchell 
87,Martynas Araluskas 
88,Tyrell Terry 
89,Nah'shon Hyland 
90,Robbie Beran 
91,Brycen Goodine 
92,Dontaie Allen 
93,Chol Marial 
94,Chandler Lawson 
95,Oumar Ballo 
96,Cole Bajema 
97,Jaimie Jacquez 
98,Jaylen Forbes 
99,Jaden Shackelford 
100,Rylan Jones 
