name,comp,score,rank
Aaron Holiday,Luke Ridnour oregon,0.96,1
Aaron Holiday,Jeff McInnis north-carolina,0.93,2
Aaron Holiday,Ben Gordon connecticut,0.92,3
Aaron Holiday,Raymond Felton north-carolina,0.91,4
Aaron Holiday,Deron Williams illinois,0.9,5
Ajdin Penava,Marcus Haislip tennessee,0.85,1
Ajdin Penava,Markieff Morris kansas,0.81,2
Ajdin Penava,Walter McCarty kentucky,0.78,3
Ajdin Penava,Shavlik Randolph duke,0.76,4
Ajdin Penava,Richaun Holmes bowling-green-state,0.72,5
Alize Johnson,Quentin Richardson depaul,0.74,1
Alize Johnson,Kawhi Leonard san-diego-state,0.54,2
Alize Johnson,Ryan Anderson california,0.54,3
Alize Johnson,Jumaine Jones georgia,0.52,4
Alize Johnson,Linas Kleiza missouri,0.52,5
Allonzo Trier,Casey Jacobsen stanford,0.86,1
Allonzo Trier,James Anderson oklahoma-state,0.8,2
Allonzo Trier,John Jenkins vanderbilt,0.78,3
Allonzo Trier,Arron Afflalo ucla,0.77,4
Allonzo Trier,Jodie Meeks kentucky,0.73,5
Bonzie Colson,Raef LaFrentz kansas,0.91,1
Bonzie Colson,Cherokee Parks duke,0.89,2
Bonzie Colson,Mike Harris rice,0.89,3
Bonzie Colson,John Wallace syracuse,0.88,4
Bonzie Colson,Andrew Nicholson st-bonaventure,0.84,5
Brandon McCoy,Anthony Bennett nevada-las-vegas,0.88,1
Brandon McCoy,Jabari Parker duke,0.84,2
Brandon McCoy,Chris Bosh georgia-tech,0.82,3
Brandon McCoy,Kris Humphries minnesota,0.81,4
Brandon McCoy,Tobias Harris tennessee,0.81,5
Bruce Brown,Jamison Brewer auburn,0.85,1
Bruce Brown,Russell Westbrook ucla,0.84,2
Bruce Brown,Kendall Marshall north-carolina,0.83,3
Bruce Brown,Michael Carter-Williams syracuse,0.82,4
Bruce Brown,Chris Whitney clemson,0.81,5
Chandler Hutchison,Trevor Wilson ucla,0.59,1
Chandler Hutchison,Bimbo Coles virginia-tech,0.54,2
Chandler Hutchison,Tariq Abdul-Wahad san-jose-state,0.53,3
Chandler Hutchison,Clifford Robinson connecticut,0.51,4
Chandler Hutchison,Shandon Anderson georgia,0.5,5
Chimezie Metu,Tony Battie texas-tech,0.92,1
Chimezie Metu,Richaun Holmes bowling-green-state,0.9,2
Chimezie Metu,Larry Sanders virginia-commonwealth,0.88,3
Chimezie Metu,Damian Jones vanderbilt,0.86,4
Chimezie Metu,Jayson Williams st-johns-ny,0.85,5
Chris Chiozza,Alvin Williams villanova,0.98,1
Chris Chiozza,Michael Hawkins xavier,0.98,2
Chris Chiozza,Steve Blake maryland,0.98,3
Chris Chiozza,Tate George connecticut,0.94,4
Chris Chiozza,Bobby Hurley duke,0.93,5
Collin Sexton,Dajuan Wagner memphis,0.85,1
Collin Sexton,Jerryd Bayless arizona,0.83,2
Collin Sexton,Kyrie Irving duke,0.77,3
Collin Sexton,Eric Gordon indiana,0.71,4
Collin Sexton,Derrick Rose memphis,0.64,5
DJ Hogg,Reggie Bullock north-carolina,0.83,1
DJ Hogg,Brandon Rush kansas,0.82,2
DJ Hogg,Justin Anderson virginia,0.81,3
DJ Hogg,Antoine Wright texas-am,0.8,4
DJ Hogg,DeAndre Liggins kentucky,0.8,5
Deandre Ayton,Anthony Bennett nevada-las-vegas,0.87,1
Deandre Ayton,Kevin Love ucla,0.87,2
Deandre Ayton,Chris Bosh georgia-tech,0.77,3
Deandre Ayton,Michael Beasley kansas-state,0.74,4
Deandre Ayton,Carl Herrera houston,0.71,5
Deng Adel,Tony Snell new-mexico,0.94,1
Deng Adel,Allen Crabbe california,0.91,2
Deng Adel,Jimmy Oliver purdue,0.89,3
Deng Adel,Brandon Rush kansas,0.87,4
Deng Adel,Justin Anderson virginia,0.87,5
Devon Hall,Caris LeVert michigan,0.91,1
Devon Hall,Garrett Temple louisiana-state,0.85,2
Devon Hall,Justin Holiday washington,0.85,3
Devon Hall,Rusty LaRue wake-forest,0.85,4
Devon Hall,Chris Quinn notre-dame,0.84,5
Devonte Graham,Andre Barrett seton-hall,0.96,1
Devonte Graham,Chucky Atkins south-florida,0.96,2
Devonte Graham,Matthew Dellavedova saint-marys-ca,0.96,3
Devonte Graham,Shabazz Napier connecticut,0.96,4
Devonte Graham,Travis Diener marquette,0.96,5
Dikembe Dixson,Harold Miner southern-california,0.67,1
Dikembe Dixson,Maurice Evans texas,0.63,2
Dikembe Dixson,Kirk Snyder nevada,0.62,3
Dikembe Dixson,Tremaine Fowlkes fresno-state,0.58,4
Dikembe Dixson,Antoine Wright texas-am,0.57,5
Donte Grantham,Pat Connaughton notre-dame,0.92,1
Donte Grantham,Rusty LaRue wake-forest,0.88,2
Donte Grantham,Jake Layman maryland,0.86,3
Donte Grantham,Josh Richardson tennessee,0.85,4
Donte Grantham,Justin Holiday washington,0.85,5
Duncan Robinson,Rusty LaRue wake-forest,0.93,1
Duncan Robinson,Darius Miller kentucky,0.9,2
Duncan Robinson,Jake Layman maryland,0.87,3
Duncan Robinson,Pat Connaughton notre-dame,0.87,4
Duncan Robinson,Bryn Forbes michigan-state,0.86,5
Gary Clark,Linton Johnson tulane,0.79,1
Gary Clark,Eric Moreland oregon-state,0.78,2
Gary Clark,Pete Chilcutt north-carolina,0.78,3
Gary Clark,Lavoy Allen temple,0.77,4
Gary Clark,Jamie Feick michigan-state,0.72,5
George King,Chris Johnson dayton,0.85,1
George King,Kyle Singler duke,0.85,2
George King,Cartier Martin kansas-state,0.83,3
George King,Rodney McGruder kansas-state,0.82,4
George King,Maurice Ager michigan-state,0.8,5
Grayson Allen,Isaiah Canaan murray-state,0.96,1
Grayson Allen,Damian Lillard weber-state,0.93,2
Grayson Allen,Bryce Drew valparaiso,0.89,3
Grayson Allen,Shammond Williams north-carolina,0.89,4
Grayson Allen,Bobby Brown cal-state-fullerton,0.88,5
Hamidou Diallo,Avery Bradley texas,0.72,1
Hamidou Diallo,Austin Rivers duke,0.66,2
Hamidou Diallo,Kevon Looney ucla,0.64,3
Hamidou Diallo,Trevor Ariza ucla,0.61,4
Hamidou Diallo,James Young kentucky,0.59,5
JP Macura,Ian Clark belmont,0.86,1
JP Macura,Kyle Korver creighton,0.82,2
JP Macura,Luther Head illinois,0.82,3
JP Macura,Quinn Cook duke,0.82,4
JP Macura,Chris Quinn notre-dame,0.81,5
Jacob Evans,Tony Snell new-mexico,0.9,1
Jacob Evans,Justin Anderson virginia,0.86,2
Jacob Evans,Shelvin Mack butler,0.84,3
Jacob Evans,Jimmy Oliver purdue,0.8,4
Jacob Evans,Reggie Bullock north-carolina,0.8,5
Jalen Brunson,Reggie Jackson boston-college,0.86,1
Jalen Brunson,Delonte West saint-josephs,0.83,2
Jalen Brunson,Jalen Rose michigan,0.78,3
Jalen Brunson,Jeff McInnis north-carolina,0.74,4
Jalen Brunson,Luke Ridnour oregon,0.74,5
Jared Terrell,Langston Galloway saint-josephs,0.87,1
Jared Terrell,Will Bynum georgia-tech,0.85,2
Jared Terrell,Seth Curry duke,0.81,3
Jared Terrell,Stephen Graham oklahoma-state,0.8,4
Jared Terrell,Troy Daniels virginia-commonwealth,0.8,5
Jarred Vanderbilt,Donnell Harvey florida,0.83,1
Jarred Vanderbilt,Stanley Roberts louisiana-state,0.68,2
Jarred Vanderbilt,Anthony Randolph louisiana-state,0.63,3
Jarred Vanderbilt,Kevon Looney ucla,0.59,4
Jarred Vanderbilt,Julius Randle kentucky,0.57,5
Jaylen Adams,Travis Diener marquette,0.96,1
Jaylen Adams,Shabazz Napier connecticut,0.94,2
Jaylen Adams,Bryce Drew valparaiso,0.93,3
Jaylen Adams,Matthew Dellavedova saint-marys-ca,0.91,4
Jaylen Adams,Andre Barrett seton-hall,0.9,5
Jaylen Barford,Jordan Crawford xavier,0.82,1
Jaylen Barford,Jannero Pargo arkansas,0.8,2
Jaylen Barford,Gary Harris michigan-state,0.72,3
Jaylen Barford,Von Wafer florida-state,0.71,4
Jaylen Barford,Marcus Thornton louisiana-state,0.7,5
Jerome Robinson,Ben Gordon connecticut,0.88,1
Jerome Robinson,Shelvin Mack butler,0.85,2
Jerome Robinson,Jordan Clarkson missouri,0.78,3
Jerome Robinson,Klay Thompson washington-state,0.78,4
Jerome Robinson,Luke Ridnour oregon,0.78,5
Jevon Carter,Brooks Thompson oklahoma-state,0.94,1
Jevon Carter,Jason Terry arizona,0.91,2
Jevon Carter,Shabazz Napier connecticut,0.91,3
Jevon Carter,Brent Price oklahoma,0.9,4
Jevon Carter,Jason Hart syracuse,0.9,5
Johnathan Williams,Jason Caffey alabama,0.88,1
Johnathan Williams,Dickey Simpkins providence,0.86,2
Johnathan Williams,Jeff Adrien connecticut,0.86,3
Johnathan Williams,Aron Baynes washington-state,0.84,4
Johnathan Williams,Eric Moreland oregon-state,0.84,5
Josh Okogie,Eric Williams providence,0.7,1
Josh Okogie,Sam Mack houston,0.64,2
Josh Okogie,Jeff Teague wake-forest,0.62,3
Josh Okogie,Linas Kleiza missouri,0.61,4
Josh Okogie,Harrison Barnes north-carolina,0.57,5
Keenan Evans,Dan Dickau gonzaga,0.87,1
Keenan Evans,Isaiah Canaan murray-state,0.87,2
Keenan Evans,Norris Cole cleveland-state,0.87,3
Keenan Evans,Damian Lillard weber-state,0.84,4
Keenan Evans,Matthew Dellavedova saint-marys-ca,0.84,5
Keita Bates-Diop,Matt Bonner florida,0.86,1
Keita Bates-Diop,Tayshaun Prince kentucky,0.84,2
Keita Bates-Diop,Jon Leuer wisconsin,0.8,3
Keita Bates-Diop,Jake Layman maryland,0.74,4
Keita Bates-Diop,Chris Johnson dayton,0.73,5
Kelan Martin,Cartier Martin kansas-state,0.88,1
Kelan Martin,Kyle Singler duke,0.85,2
Kelan Martin,Maurice Ager michigan-state,0.85,3
Kelan Martin,Austin Croshere providence,0.84,4
Kelan Martin,Rasual Butler la-salle,0.8,5
Kendall Stephens,Troy Daniels virginia-commonwealth,0.95,1
Kendall Stephens,Langston Galloway saint-josephs,0.93,2
Kendall Stephens,Anthony Morrow georgia-tech,0.91,3
Kendall Stephens,Kyle Singler duke,0.89,4
Kendall Stephens,Steve Novak marquette,0.89,5
Kendrick Nunn,Seth Curry duke,0.96,1
Kendrick Nunn,Matt Carroll notre-dame,0.95,2
Kendrick Nunn,Langston Galloway saint-josephs,0.94,3
Kendrick Nunn,Anthony Morrow georgia-tech,0.91,4
Kendrick Nunn,Bryn Forbes michigan-state,0.91,5
Kenrich Williams,Andre Roberson colorado,0.69,1
Kenrich Williams,Renaldo Balkman south-carolina,0.68,2
Kenrich Williams,DeAndre Liggins kentucky,0.66,3
Kenrich Williams,Earl Clark louisville,0.66,4
Kenrich Williams,Hollis Thompson georgetown,0.61,5
Kevin Hervey,Matt Harpring georgia-tech,0.77,1
Kevin Hervey,Derrick Dial eastern-michigan,0.71,2
Kevin Hervey,Buddy Hield oklahoma,0.7,3
Kevin Hervey,Wally Szczerbiak miami-oh,0.69,4
Kevin Hervey,Eric Piatkowski nebraska,0.68,5
Kevin Huerter,Sonny Weems arkansas,0.75,1
Kevin Huerter,Rodney Hood duke,0.74,2
Kevin Huerter,Patrick McCaw nevada-las-vegas,0.72,3
Kevin Huerter,Jeremy Lamb connecticut,0.69,4
Kevin Huerter,Nik Stauskas michigan,0.66,5
Kevin Knox,Malik Beasley florida-state,0.91,1
Kevin Knox,Devin Booker kentucky,0.84,2
Kevin Knox,James Young kentucky,0.83,3
Kevin Knox,Jamal Murray kentucky,0.8,4
Kevin Knox,Ben McLemore kansas,0.72,5
Khyri Thomas,Greg Minor louisville,0.85,1
Khyri Thomas,Damon Jones houston,0.75,2
Khyri Thomas,Corey Brewer florida,0.69,3
Khyri Thomas,Reggie Bullock north-carolina,0.69,4
Khyri Thomas,Mario Chalmers kansas,0.64,5
Kostas Antetokounmpo,Derrick Favors georgia-tech,0.76,1
Kostas Antetokounmpo,Stanley Roberts louisiana-state,0.73,2
Kostas Antetokounmpo,Andre Drummond connecticut,0.71,3
Kostas Antetokounmpo,Joel Embiid kansas,0.7,4
Kostas Antetokounmpo,Marquese Chriss washington,0.69,5
Kyle Washington,Aron Baynes washington-state,0.87,1
Kyle Washington,Adreian Payne michigan-state,0.82,2
Kyle Washington,Jason Collier georgia-tech,0.82,3
Kyle Washington,Jon Leuer wisconsin,0.8,4
Kyle Washington,Chris Johnson louisiana-state,0.79,5
Landry Shamet,Reggie Jackson boston-college,0.92,1
Landry Shamet,Luke Ridnour oregon,0.89,2
Landry Shamet,Jeff McInnis north-carolina,0.86,3
Landry Shamet,Shelvin Mack butler,0.84,4
Landry Shamet,Deron Williams illinois,0.81,5
Lonnie Walker,Zach LaVine ucla,0.9,1
Lonnie Walker,Devin Booker kentucky,0.82,2
Lonnie Walker,James Young kentucky,0.81,3
Lonnie Walker,Cory Joseph texas,0.8,4
Lonnie Walker,Jamal Murray kentucky,0.73,5
Malik Newman,Rodney Hood duke,0.93,1
Malik Newman,Nik Stauskas michigan,0.91,2
Malik Newman,Patrick Beverley arkansas,0.84,3
Malik Newman,Von Wafer florida-state,0.84,4
Malik Newman,Gary Harris michigan-state,0.81,5
Malik Pope,Jason Collier georgia-tech,0.88,1
Malik Pope,Sean Marks california,0.86,2
Malik Pope,Keith Askins alabama,0.81,3
Malik Pope,Linton Johnson tulane,0.81,4
Malik Pope,Jon Leuer wisconsin,0.78,5
Marcus Foster,Keith Bogans kentucky,0.87,1
Marcus Foster,Ronnie Price ,0.83,2
Marcus Foster,Maurice Ager michigan-state,0.81,3
Marcus Foster,Brian Roberts dayton,0.79,4
Marcus Foster,Sean Kilpatrick cincinnati,0.78,5
Melvin Frazier,Eddie Jones temple,0.67,1
Melvin Frazier,Greg Minor louisville,0.64,2
Melvin Frazier,Victor Oladipo indiana,0.64,3
Melvin Frazier,Renaldo Balkman south-carolina,0.56,4
Melvin Frazier,Hollis Thompson georgetown,0.54,5
Mikal Bridges,Greg Minor louisville,0.66,1
Mikal Bridges,Kelenna Azubuike kentucky,0.66,2
Mikal Bridges,Sam Dekker wisconsin,0.56,3
Mikal Bridges,Victor Oladipo indiana,0.56,4
Mikal Bridges,Vince Carter north-carolina,0.54,5
Miles Bridges,Jordan Hamilton texas,0.74,1
Miles Bridges,Isaiah Rider nevada-las-vegas,0.68,2
Miles Bridges,Jeremy Lamb connecticut,0.63,3
Miles Bridges,Ryan Anderson california,0.61,4
Miles Bridges,Quentin Richardson depaul,0.59,5
Mohamed Bamba,Anthony Davis kentucky,0.9,1
Mohamed Bamba,Chris Bosh georgia-tech,0.8,2
Mohamed Bamba,Myles Turner texas,0.8,3
Mohamed Bamba,Derrick Favors georgia-tech,0.78,4
Mohamed Bamba,Karl-Anthony Towns kentucky,0.75,5
Moritz Wagner,Kelly Olynyk gonzaga,0.73,1
Moritz Wagner,Marcus Haislip tennessee,0.69,2
Moritz Wagner,Anthony Miller michigan-state,0.68,3
Moritz Wagner,Marcus Morris kansas,0.67,4
Moritz Wagner,Tracy Murray ucla,0.65,5
Muhammad-Ali Abdur-Rahkman,Josh Richardson tennessee,0.91,1
Muhammad-Ali Abdur-Rahkman,Rusty LaRue wake-forest,0.9,2
Muhammad-Ali Abdur-Rahkman,Darius Miller kentucky,0.86,3
Muhammad-Ali Abdur-Rahkman,Pat Connaughton notre-dame,0.86,4
Muhammad-Ali Abdur-Rahkman,Scott Williams north-carolina,0.83,5
Omari Spellman,Daequan Cook ohio-state,0.7,1
Omari Spellman,Luol Deng duke,0.7,2
Omari Spellman,Kevon Looney ucla,0.66,3
Omari Spellman,Noah Vonleh indiana,0.64,4
Omari Spellman,DerMarr Johnson cincinnati,0.59,5
Rawle Alkins,Patrick Beverley arkansas,0.91,1
Rawle Alkins,Rodney Hood duke,0.88,2
Rawle Alkins,Daniel Gibson texas,0.8,3
Rawle Alkins,Nik Stauskas michigan,0.77,4
Rawle Alkins,Von Wafer florida-state,0.77,5
Raymond Spalding,Andre Roberson colorado,0.86,1
Raymond Spalding,Renaldo Balkman south-carolina,0.83,2
Raymond Spalding,Tony Battie texas-tech,0.83,3
Raymond Spalding,Shavlik Randolph duke,0.82,4
Raymond Spalding,Gorgui Dieng louisville,0.81,5
Robert Williams,Rasheed Wallace north-carolina,0.87,1
Robert Williams,Jakob Poeltl utah,0.85,2
Robert Williams,Julian Wright kansas,0.84,3
Robert Williams,Lorenzen Wright memphis,0.84,4
Robert Williams,Chris Webber michigan,0.83,5
Shai Gilgeous-Alexander,John Wall kentucky,0.91,1
Shai Gilgeous-Alexander,Tyus Jones duke,0.91,2
Shai Gilgeous-Alexander,Tyler Ennis syracuse,0.89,3
Shai Gilgeous-Alexander,Rafer Alston fresno-state,0.86,4
Shai Gilgeous-Alexander,Derrick Rose memphis,0.84,5
Sviatoslav Mykhailiuk,Langston Galloway saint-josephs,0.93,1
Sviatoslav Mykhailiuk,Rusty LaRue wake-forest,0.92,2
Sviatoslav Mykhailiuk,Troy Daniels virginia-commonwealth,0.9,3
Sviatoslav Mykhailiuk,Bryn Forbes michigan-state,0.88,4
Sviatoslav Mykhailiuk,Anthony Morrow georgia-tech,0.84,5
Thomas Wilder,Litterial Green georgia,0.91,1
Thomas Wilder,Keith McLeod bowling-green-state,0.89,2
Thomas Wilder,Elliot Perry memphis,0.87,3
Thomas Wilder,Anthony Peeler missouri,0.86,4
Thomas Wilder,Luke Jackson oregon,0.86,5
Tony Carr,Jordan Farmar ucla,0.84,1
Tony Carr,Keyon Dooling missouri,0.82,2
Tony Carr,Chauncey Billups colorado,0.8,3
Tony Carr,Trey Burke michigan,0.79,4
Tony Carr,Anthony Goldwire houston,0.75,5
Tra Holder,Dan Dickau gonzaga,0.9,1
Tra Holder,Donald Sloan texas-am,0.88,2
Tra Holder,Chucky Atkins south-florida,0.84,3
Tra Holder,Derek Fisher arkansas-little-rock,0.84,4
Tra Holder,Caris LeVert michigan,0.83,5
Trae Young,Derrick Rose memphis,0.88,1
Trae Young,John Wall kentucky,0.87,2
Trae Young,Kyrie Irving duke,0.86,3
Trae Young,Rafer Alston fresno-state,0.79,4
Trae Young,Tyreke Evans memphis,0.76,5
Trevon Bluiett,Maurice Ager michigan-state,0.93,1
Trevon Bluiett,Jason Kapono ucla,0.92,2
Trevon Bluiett,Cartier Martin kansas-state,0.89,3
Trevon Bluiett,Jordan McRae tennessee,0.89,4
Trevon Bluiett,Steve Novak marquette,0.89,5
Trevon Duval,Jrue Holiday ucla,0.86,1
Trevon Duval,Mike Conley ohio-state,0.86,2
Trevon Duval,Rafer Alston fresno-state,0.83,3
Trevon Duval,Tyler Ennis syracuse,0.82,4
Trevon Duval,John Wall kentucky,0.79,5
Troy Brown,Jrue Holiday ucla,0.9,1
Troy Brown,Eric Bledsoe kentucky,0.72,2
Troy Brown,Mike Conley ohio-state,0.68,3
Troy Brown,Tyler Ennis syracuse,0.68,4
Troy Brown,Tyus Jones duke,0.68,5
Tyler Davis,Josh Richardson tennessee,0.88,1
Tyler Davis,Keith Askins alabama,0.85,2
Tyler Davis,Justin Holiday washington,0.83,3
Tyler Davis,Scott Williams north-carolina,0.81,4
Tyler Davis,Norman Powell ucla,0.8,5
Vince Edwards,Quinn Cook duke,0.81,1
Vince Edwards,Aaron Brooks oregon,0.8,2
Vince Edwards,John Lucas III oklahoma-state,0.79,3
Vince Edwards,Chris Quinn notre-dame,0.76,4
Vince Edwards,Dan Dickau gonzaga,0.76,5
Wenyen Gabriel,Wilson Chandler depaul,0.82,1
Wenyen Gabriel,Dewayne Dedmon southern-california,0.69,2
Wenyen Gabriel,Antonio Harvey georgia,0.66,3
Wenyen Gabriel,Robin Lopez stanford,0.64,4
Wenyen Gabriel,Jerami Grant syracuse,0.63,5
Yante Maten,Michael Doleac utah,0.93,1
Yante Maten,Alec Kessler georgia,0.87,2
Yante Maten,Mike Muscala bucknell,0.87,3
Yante Maten,Todd Fuller north-carolina-state,0.87,4
Yante Maten,Jason Maxiell cincinnati,0.81,5
Zhaire Smith,Tyrus Thomas louisiana-state,0.56,1
Zhaire Smith,DerMarr Johnson cincinnati,0.52,2
Zhaire Smith,Chris Bosh georgia-tech,0.5,3
Zhaire Smith,Anthony Davis kentucky,0.41,4
Zhaire Smith,Shawn Bradley brigham-young,0.4,5
